"サービス","想定エリア","法人名","優先度","適合根拠","公式URL","窓口メール","電話番号","打診方法","即時打診可否","既存打診状況","送信前確認","根拠"
"害虫駆除(PCO)","大阪市西区・福岡県（過去案件）","株式会社アウルズ・ウインク","S","大阪市内・厨房衛生管理・防除業登録","https://duskin-nipponbashi.com/","","06-6647-6400","電話（メール/フォーム案内を取得）","可","未打診","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","公式サイト・公的登録名簿"
"害虫駆除(PCO)","大阪市西区・福岡県（過去案件）","株式会社ジーピーコーポレーション","A","大阪営業所・HACCP対応","https://gpcorp.jp/","","","公式フォーム","可","既存打診履歴あり：回答待ち","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","公式サイト・公的登録名簿"
"害虫駆除(PCO)","大阪市西区・福岡県（過去案件）","株式会社クレイブ","A","大阪の法人向け害虫防除","https://crave.bz/","info@crave.bz","","メール","可","既存打診履歴あり：回答待ち","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","公式サイト・公的登録名簿"
"害虫駆除(PCO)","大阪市西区・福岡県（過去案件）","株式会社ティーソリューション","A","大阪の法人向け衛生管理","https://t-solution-inc.com/","info@t-solution-inc.com","","メール","可","既存打診履歴あり：回答待ち","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","公式サイト・公的登録名簿"
"害虫駆除(PCO)","大阪市西区・福岡県（過去案件）","クリーンボーイ大阪株式会社","A","大阪の施設衛生・害虫防除","https://clean-boy.com/","info@clean-boy.com","","メール","可","既存打診履歴あり：回答待ち","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","公式サイト・公的登録名簿"
"害虫駆除(PCO)","大阪市西区・福岡県（過去案件）","サクセス株式会社","A","大阪の店舗・施設向け防除","https://success-dk.com/","success-dk@yahoo.co.jp","","メール","可","既存打診履歴あり：回答待ち","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","公式サイト・公的登録名簿"
"害虫駆除(PCO)","大阪市西区・福岡県（過去案件）","株式会社ベクトル","A","飲食店向け法人サービス・24時間対応","https://osaka-vektor.com/corporate","","","公式フォーム","可","既存打診履歴あり：送信保留","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","公式サイト・公的登録名簿"
"害虫駆除(PCO)","大阪市西区・福岡県（過去案件）","株式会社トラスト","A","大阪市内の飲食店厨房防除","https://www.trust-pest.com/","","","公式フォーム","可","既存打診履歴あり：回答待ち","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","公式サイト・公的登録名簿"
"害虫駆除(PCO)","大阪市西区・福岡県（過去案件）","株式会社ホームセイバー","A","法人・飲食店の害虫防除","https://homesaver.jp/","","","公式フォーム","可","既存打診履歴あり：回答待ち","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","公式サイト・公的登録名簿"
"害虫駆除(PCO)","大阪市西区・福岡県（過去案件）","株式会社トリニティエンジニアリング","A","レストラン・厨房の定期防除","https://trinity-eng.co.jp/","","","公式フォーム","可","既存打診履歴あり：送信保留","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","公式サイト・公的登録名簿"
"害虫駆除(PCO)","大阪市西区・福岡県（過去案件）","株式会社スマートサプライ","A","飲食店向けHACCP衛生管理","https://smart-supply.co.jp/","info@smart-pcz.com","","メール","可","既存打診履歴あり：回答待ち","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","公式サイト・公的登録名簿"
"害虫駆除(PCO)","大阪市西区・福岡県（過去案件）","株式会社関西シー・アイ・シー","A","大阪府登録のねずみ昆虫等防除業","https://www.kansai-cic.co.jp/","","","公式フォーム","可","既存打診履歴あり：回答待ち","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","公式サイト・公的登録名簿"
"害虫駆除(PCO)","大阪市西区・福岡県（過去案件）","株式会社ビー・アライブ","A","大阪府登録のねずみ昆虫等防除業","https://be-alive.co.jp/","info@cleaners.jp","","メール","可","既存打診履歴あり：回答待ち","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","公式サイト・公的登録名簿"
"害虫駆除(PCO)","大阪市西区・福岡県（過去案件）","毎美エンジニアリング株式会社","A","大阪府登録のねずみ昆虫等防除業","https://www.mainichi-eng.co.jp/","","","公式フォーム","可","未打診","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","公式サイト・公的登録名簿"
"害虫駆除(PCO)","大阪市西区・福岡県（過去案件）","株式会社ワールド環境","A","大阪府登録のねずみ昆虫等防除業","https://world-kankyo.co.jp/","","","公式フォーム","可","未打診","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","公式サイト・公的登録名簿"
"害虫駆除(PCO)","大阪市西区・福岡県（過去案件）","アトラスサービス株式会社","A","大阪府登録のねずみ昆虫等防除業","https://atlas-service.co.jp/","","","公式フォーム","可","未打診","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","公式サイト・公的登録名簿"
"害虫駆除(PCO)","大阪市西区・福岡県（過去案件）","株式会社ホープ","A","大阪府登録のねずみ昆虫等防除業","https://hope-pco.co.jp/","hopeosaka@mtj.biglobe.ne.jp","","メール","可","既存打診履歴あり：回答待ち","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","公式サイト・公的登録名簿"
"害虫駆除(PCO)","大阪市西区・福岡県（過去案件）","株式会社むつみ商会","A","大阪府登録・見積対応","https://mutsumisyokai.com/","support@mutsumisyokai.com","","メール","可","既存打診履歴あり：回答待ち","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","公式サイト・公的登録名簿"
"害虫駆除(PCO)","大阪市西区・福岡県（過去案件）","イカリ消毒株式会社","A","食品工場・飲食店の総合的有害生物管理","https://www.ikari.jp/","","","公式フォーム","可","未打診","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","公式サイト・公的登録名簿"
"害虫駆除(PCO)","大阪市西区・福岡県（過去案件）","アース環境サービス株式会社","A","食品関連施設の衛生管理・防虫防そ","https://www.earth-kankyo.co.jp/","","","公式フォーム","可","未打診","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","公式サイト・公的登録名簿"
"害虫駆除(PCO)","大阪市西区・福岡県（過去案件）","シェル商事株式会社","A","食品衛生・害虫防除の法人対応","https://www.shell-syoji.co.jp/","","","公式フォーム","可","未打診","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","公式サイト・公的登録名簿"
"害虫駆除(PCO)","大阪市西区・福岡県（過去案件）","株式会社ダイキチ","A","HACCP監査・害虫駆除を含む衛生管理","https://daikichi.inc/haccp/","","","公式フォーム","可","未打診","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","公式サイト・公的登録名簿"
"害虫駆除(PCO)","大阪市西区・福岡県（過去案件）","株式会社アペックス西日本","A","大阪拠点の衛生害虫対策","https://www.apex-sangyo.jp/","","","公式フォーム","可","未打診","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","公式サイト・公的登録名簿"
"害虫駆除(PCO)","大阪市西区・福岡県（過去案件）","アスカ美装株式会社","B","近畿の建築物ねずみ昆虫等防除業","https://www.asukabiso.co.jp/","","","公式フォーム","可","未打診","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","公式サイト・公的登録名簿"
"害虫駆除(PCO)","大阪市西区・福岡県（過去案件）","中部リースキン株式会社","B","業務用害虫駆除機の定期管理","https://chubu-leasekin.co.jp/","","","公式フォーム","可","未打診","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","公式サイト・公的登録名簿"
"害虫駆除(PCO)","大阪市西区・福岡県（過去案件）","株式会社STM","B","大阪の飲食店向け業務用害虫管理","https://stm-corp.jp/with/","","","公式フォーム","可","未打診","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","公式サイト・公的登録名簿"
"害虫駆除(PCO)","大阪市西区・福岡県（過去案件）","株式会社タムラテコ","B","飲食店の衛生管理設備・HACCP関連","https://www.teco.co.jp/","","","公式フォーム","可","未打診","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","公式サイト・公的登録名簿"
"害虫駆除(PCO)","大阪市西区・福岡県（過去案件）","株式会社日本保健衛生協会","B","大阪府登録のねずみ昆虫等防除業","https://www.nhk-eisei.co.jp/","","","公式フォーム","可","未打診","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","公式サイト・公的登録名簿"
"害虫駆除(PCO)","大阪市西区・福岡県（過去案件）","株式会社サニックス","B","法人施設の害虫・害獣対策","https://sanix.jp/","","","公式フォーム","可","既存打診履歴あり：不通","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","公式サイト・公的登録名簿"
"害虫駆除(PCO)","大阪市西区・福岡県（過去案件）","株式会社新栄アリックス","B","業務用の害虫・衛生管理","https://www.shinei-alix.co.jp/","","","公式フォーム","可","既存打診履歴あり：不通","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","公式サイト・公的登録名簿"
"害虫駆除(PCO)","大阪市西区・福岡県（過去案件）","防除サポート株式会社","B","業務用害虫防除","https://bojo-support.co.jp/","","","公式フォーム","可","既存打診履歴あり：未依頼","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","公式サイト・公的登録名簿"
"害虫駆除(PCO)","大阪市西区・福岡県（過去案件）","株式会社いきもの研究社","B","法人施設向け害虫防除","https://ikimono-lab.co.jp/","","","公式フォーム","可","既存打診履歴あり：未依頼","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","公式サイト・公的登録名簿"
"害虫駆除(PCO)","大阪市西区・福岡県（過去案件）","株式会社福岡EH","B","食品・施設向け害虫対策","https://fukuoka-eh.jp/","","","公式フォーム","可","既存打診履歴あり：未依頼","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","公式サイト・公的登録名簿"
"害虫駆除(PCO)","大阪市西区・福岡県（過去案件）","環境衛生薬品株式会社","B","業務用害虫防除","https://kankyo-eisei.co.jp/","","","公式フォーム","可","既存打診履歴あり：不通","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","公式サイト・公的登録名簿"
"害虫駆除(PCO)","大阪市西区・福岡県（過去案件）","株式会社日本エージェント","B","法人施設の防虫防そ","https://nihon-agent.co.jp/","","","公式フォーム","可","未打診","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","公式サイト・公的登録名簿"
"害虫駆除(PCO)","大阪市西区・福岡県（過去案件）","日本防疫株式会社","B","食品・物流施設向けPCO","https://www.nihonboueki.co.jp/","","","公式フォーム","可","未打診","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","公式サイト・公的登録名簿"
"害虫駆除(PCO)","大阪市西区・福岡県（過去案件）","東化研株式会社","B","衛生害虫防除・施設管理","https://tokaken.co.jp/","","","公式フォーム","可","既存打診履歴あり：不通","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","公式サイト・公的登録名簿"
"害虫駆除(PCO)","大阪市西区・福岡県（過去案件）","株式会社トータルクリーン","B","定期防除・アフター対応","https://totalclean.co.jp/","","","公式フォーム","可","既存打診履歴あり：送信保留","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","公式サイト・公的登録名簿"
"害虫駆除(PCO)","大阪市西区・福岡県（過去案件）","株式会社DAIJU","B","飲食店向け害虫駆除・防除業登録","https://www.life-remodel.com/company.html","","","公式フォーム","可","未打診","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","公式サイト・公的登録名簿"
"害虫駆除(PCO)","大阪市西区・福岡県（過去案件）","株式会社ダスキン","B","ターミニックス法人向け衛生管理","https://www.duskin.jp/","","","公式フォーム","可","未打診","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","公式サイト・公的登録名簿"
"受水槽清掃","神奈川県横浜市西区（過去案件）","有限会社正水社","S","横浜市登録・受水槽/高置水槽/ポンプ対応","https://sss.hariko.com/","ezb@s6.dion.ne.jp","045-542-2404","メール","可","未打診","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","神奈川県 建築物飲料水貯水槽清掃業登録名簿・公式サイト"
"受水槽清掃","神奈川県横浜市西区（過去案件）","横浜ワコー株式会社","S","横浜・受水槽/高置水槽/ポンプ修繕","https://yokohamawako.co.jp/","info@yokohamawako.co.jp","","メール","可","未打診","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","神奈川県 建築物飲料水貯水槽清掃業登録名簿・公式サイト"
"受水槽清掃","神奈川県横浜市西区（過去案件）","株式会社新設","S","横浜市・高置水槽・給水ポンプ取替","https://www.sinsetu.jp/","","","公式フォーム","可","既存打診履歴あり：回答待ち","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","神奈川県 建築物飲料水貯水槽清掃業登録名簿・公式サイト"
"受水槽清掃","神奈川県横浜市西区（過去案件）","株式会社神栄興業","S","横浜・貯水槽/給排水設備改修","https://www.water-shinei.com/about_us.html","","","公式フォーム","可","未打診","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","神奈川県 建築物飲料水貯水槽清掃業登録名簿・公式サイト"
"受水槽清掃","神奈川県横浜市西区（過去案件）","有限会社ジャパンクリーンサービス","A","横浜市・貯水槽清掃専門","https://www.japancleanservice.com/service.html","","","公式フォーム","可","未打診","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","神奈川県 建築物飲料水貯水槽清掃業登録名簿・公式サイト"
"受水槽清掃","神奈川県横浜市西区（過去案件）","株式会社ダイイチ美装社","A","神奈川県貯水槽清掃業登録","https://daiichi-bisosha.co.jp/","","","公式フォーム","可","未打診","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","神奈川県 建築物飲料水貯水槽清掃業登録名簿・公式サイト"
"受水槽清掃","神奈川県横浜市西区（過去案件）","アドバンスサービス株式会社","A","横浜市全域・高置水槽・修繕対応","https://www.advance1997.co.jp/","","","公式フォーム","可","未打診","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","神奈川県 建築物飲料水貯水槽清掃業登録名簿・公式サイト"
"受水槽清掃","神奈川県横浜市西区（過去案件）","横浜管財株式会社","A","給排水設備・ポンプ配管対応","https://hamakan.jp/","","045-710-5710","電話（メール/フォーム案内を取得）","可","既存打診履歴あり：回答待ち","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","神奈川県 建築物飲料水貯水槽清掃業登録名簿・公式サイト"
"受水槽清掃","神奈川県横浜市西区（過去案件）","横浜ビルシステム株式会社","A","ホテル等の施設管理実績","https://www.y-bs.co.jp/","","","公式フォーム","可","既存打診履歴あり：送信保留","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","神奈川県 建築物飲料水貯水槽清掃業登録名簿・公式サイト"
"受水槽清掃","神奈川県横浜市西区（過去案件）","株式会社アクアサービス","A","貯水槽清掃・水質検査","https://aquaservice.jp/","","","公式フォーム","可","既存打診履歴あり：回答待ち","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","神奈川県 建築物飲料水貯水槽清掃業登録名簿・公式サイト"
"受水槽清掃","神奈川県横浜市西区（過去案件）","株式会社アルス","A","横浜・貯水槽清掃/保守点検","https://arskk.com/","","","公式フォーム","可","既存打診履歴あり：紹介可(要見積り)","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","神奈川県 建築物飲料水貯水槽清掃業登録名簿・公式サイト"
"受水槽清掃","神奈川県横浜市西区（過去案件）","株式会社アクア技研","A","貯水槽清掃","https://aqua-tr.jp/","","","公式フォーム","可","未打診","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","神奈川県 建築物飲料水貯水槽清掃業登録名簿・公式サイト"
"受水槽清掃","神奈川県横浜市西区（過去案件）","TKKエンジニアリング株式会社","A","給排水工事・清掃","https://tkk-eng.co.jp/","","","公式フォーム","可","未打診","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","神奈川県 建築物飲料水貯水槽清掃業登録名簿・公式サイト"
"受水槽清掃","神奈川県横浜市西区（過去案件）","株式会社ユアーズ","A","水質検査・貯水槽管理","https://yours-aqua.com/","","","公式フォーム","可","既存打診履歴あり：回答待ち","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","神奈川県 建築物飲料水貯水槽清掃業登録名簿・公式サイト"
"受水槽清掃","神奈川県横浜市西区（過去案件）","あしがら環境保全株式会社","B","神奈川県貯水槽清掃業登録","","","0465-74-0056","電話（メール/フォーム案内を取得）","可","未打診","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","神奈川県 建築物飲料水貯水槽清掃業登録名簿・公式サイト"
"受水槽清掃","神奈川県横浜市西区（過去案件）","株式会社美装フジモト","B","神奈川県貯水槽清掃業登録","","","0465-36-2684","電話（メール/フォーム案内を取得）","可","未打診","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","神奈川県 建築物飲料水貯水槽清掃業登録名簿・公式サイト"
"受水槽清掃","神奈川県横浜市西区（過去案件）","株式会社湘南サービスセンター","B","神奈川県貯水槽清掃業登録","","","0465-24-9171","電話（メール/フォーム案内を取得）","可","未打診","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","神奈川県 建築物飲料水貯水槽清掃業登録名簿・公式サイト"
"受水槽清掃","神奈川県横浜市西区（過去案件）","マルコービルワーク株式会社","B","神奈川県貯水槽清掃業登録","","","0466-25-7618","電話（メール/フォーム案内を取得）","可","未打診","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","神奈川県 建築物飲料水貯水槽清掃業登録名簿・公式サイト"
"受水槽清掃","神奈川県横浜市西区（過去案件）","株式会社サンエーサンクス","B","神奈川県貯水槽清掃業登録","","","0467-75-2111","電話（メール/フォーム案内を取得）","可","未打診","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","神奈川県 建築物飲料水貯水槽清掃業登録名簿・公式サイト"
"受水槽清掃","神奈川県横浜市西区（過去案件）","有限会社豊商事","B","神奈川県貯水槽清掃業登録","","","046-248-1653","電話（メール/フォーム案内を取得）","可","未打診","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","神奈川県 建築物飲料水貯水槽清掃業登録名簿・公式サイト"
"受水槽清掃","神奈川県横浜市西区（過去案件）","株式会社オービーエム管財","B","神奈川県貯水槽清掃業登録","","","0465-23-4038","電話（メール/フォーム案内を取得）","可","未打診","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","神奈川県 建築物飲料水貯水槽清掃業登録名簿・公式サイト"
"受水槽清掃","神奈川県横浜市西区（過去案件）","株式会社北青サービス","B","神奈川県貯水槽清掃業登録","","","0463-32-8491","電話（メール/フォーム案内を取得）","可","未打診","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","神奈川県 建築物飲料水貯水槽清掃業登録名簿・公式サイト"
"受水槽清掃","神奈川県横浜市西区（過去案件）","株式会社伊藤工務店","B","神奈川県貯水槽清掃業登録","","","0465-63-1757","電話（メール/フォーム案内を取得）","可","未打診","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","神奈川県 建築物飲料水貯水槽清掃業登録名簿・公式サイト"
"受水槽清掃","神奈川県横浜市西区（過去案件）","有限会社神奈川クリーナー","B","神奈川県貯水槽清掃業登録","","","0463-50-1777","電話（メール/フォーム案内を取得）","可","未打診","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","神奈川県 建築物飲料水貯水槽清掃業登録名簿・公式サイト"
"受水槽清掃","神奈川県横浜市西区（過去案件）","株式会社出雲水理管理センター","B","神奈川県貯水槽清掃業登録","","","0467-85-9141","電話（メール/フォーム案内を取得）","可","未打診","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","神奈川県 建築物飲料水貯水槽清掃業登録名簿・公式サイト"
"受水槽清掃","神奈川県横浜市西区（過去案件）","株式会社サンエーヒラツカ","B","神奈川県貯水槽清掃業登録","","","0463-55-9666","電話（メール/フォーム案内を取得）","可","未打診","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","神奈川県 建築物飲料水貯水槽清掃業登録名簿・公式サイト"
"受水槽清掃","神奈川県横浜市西区（過去案件）","株式会社設備研究センター","B","神奈川県貯水槽清掃業登録","","","0463-83-1521","電話（メール/フォーム案内を取得）","可","未打診","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","神奈川県 建築物飲料水貯水槽清掃業登録名簿・公式サイト"
"受水槽清掃","神奈川県横浜市西区（過去案件）","株式会社新日本工業","B","神奈川県貯水槽清掃業登録","","","046-241-1128","電話（メール/フォーム案内を取得）","可","未打診","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","神奈川県 建築物飲料水貯水槽清掃業登録名簿・公式サイト"
"受水槽清掃","神奈川県横浜市西区（過去案件）","株式会社金沢商会","B","神奈川県貯水槽清掃業登録","","","0467-22-1070","電話（メール/フォーム案内を取得）","可","未打診","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","神奈川県 建築物飲料水貯水槽清掃業登録名簿・公式サイト"
"受水槽清掃","神奈川県横浜市西区（過去案件）","株式会社神中運輸","B","神奈川県貯水槽清掃業登録","","","0467-22-2205","電話（メール/フォーム案内を取得）","可","未打診","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","神奈川県 建築物飲料水貯水槽清掃業登録名簿・公式サイト"
"受水槽清掃","神奈川県横浜市西区（過去案件）","株式会社東海ビルメンテナス","B","神奈川県貯水槽清掃業登録","","","0465-23-4116","電話（メール/フォーム案内を取得）","可","未打診","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","神奈川県 建築物飲料水貯水槽清掃業登録名簿・公式サイト"
"受水槽清掃","神奈川県横浜市西区（過去案件）","有限会社島崎設備工業","B","神奈川県貯水槽清掃業登録","","","046-888-0441","電話（メール/フォーム案内を取得）","可","未打診","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","神奈川県 建築物飲料水貯水槽清掃業登録名簿・公式サイト"
"受水槽清掃","神奈川県横浜市西区（過去案件）","丸和産業株式会社","B","神奈川県貯水槽清掃業登録","","","046-865-3780","電話（メール/フォーム案内を取得）","可","未打診","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","神奈川県 建築物飲料水貯水槽清掃業登録名簿・公式サイト"
"受水槽清掃","神奈川県横浜市西区（過去案件）","株式会社丹野設備工業所","B","神奈川県貯水槽清掃業登録","","","0463-93-0662","電話（メール/フォーム案内を取得）","可","未打診","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","神奈川県 建築物飲料水貯水槽清掃業登録名簿・公式サイト"
"受水槽清掃","神奈川県横浜市西区（過去案件）","株式会社不二テクノ","B","神奈川県貯水槽清掃業登録","","","046-820-2400","電話（メール/フォーム案内を取得）","可","未打診","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","神奈川県 建築物飲料水貯水槽清掃業登録名簿・公式サイト"
"受水槽清掃","神奈川県横浜市西区（過去案件）","株式会社湘南美装","B","神奈川県貯水槽清掃業登録","","","0463-22-1494","電話（メール/フォーム案内を取得）","可","未打診","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","神奈川県 建築物飲料水貯水槽清掃業登録名簿・公式サイト"
"受水槽清掃","神奈川県横浜市西区（過去案件）","高橋産業株式会社","B","神奈川県貯水槽清掃業登録","","","0463-23-3691","電話（メール/フォーム案内を取得）","可","未打診","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","神奈川県 建築物飲料水貯水槽清掃業登録名簿・公式サイト"
